gameId,queueId,seasonId,gameVersion,gameDuration,100_JUNGLE_champ,100_JUNGLE_rank,100_TOP_champ,100_TOP_rank,100_MIDDLE_champ,100_MIDDLE_rank,100_BOTTOM_2_champ,100_BOTTOM_2_rank,100_BOTTOM_champ,100_BOTTOM_rank,200_JUNGLE_champ,200_JUNGLE_rank,200_TOP_champ,200_TOP_rank,200_MIDDLE_champ,200_MIDDLE_rank,200_BOTTOM_2_champ,200_BOTTOM_2_rank,200_BOTTOM_champ,200_BOTTOM_rank,win
517659830,440,9,7.22.208.1062,1504,154,1,75,1,105,1,222,1,267,1,59,1,92,1,90,1,40,1,81,1,0
517146193,440,9,7.22.208.1062,1047,64,1,41,1,103,1,117,1,22,1,141,1,164,1,157,1,497,1,498,1,0
517131545,440,9,7.22.208.1062,1415,154,1,126,1,101,1,498,1,497,1,107,1,31,1,238,1,429,1,40,1,1
516987831,420,9,7.22.208.1062,2001,154,1,420,5,45,1,498,3,53,4,107,3,14,1,4,3,25,3,81,4,1
517043060,420,9,7.22.208.1062,2311,60,3,41,5,238,4,498,3,497,4,254,4,86,3,245,3,202,3,412,3,1
516959819,440,9,7.22.208.1062,2484,64,1,126,1,245,1,119,1,48,1,141,1,31,1,63,1,51,1,89,1,0
517022438,420,9,7.22.208.1062,1197,64,4,6,2,110,4,412,3,22,3,36,4,41,4,90,3,222,3,497,4,1
517015919,420,9,7.22.208.1062,1968,5,1,92,4,115,5,26,1,18,3,11,1,114,1,3,3,67,2,497,4,1
516961668,440,9,7.22.208.1062,2179,121,1,17,1,3,1,25,1,81,1,24,1,516,1,105,1,12,1,202,1,0
516936868,440,9,7.22.208.1062,1163,107,1,68,1,13,1,267,1,236,1,57,1,59,1,99,1,81,1,12,1,0
516909951,440,9,7.22.208.1062,2474,79,1,516,1,134,1,37,1,67,1,76,1,24,1,74,1,81,1,89,1,1
516847376,440,9,7.22.208.1062,1833,9,1,24,1,4,1,429,1,89,1,141,1,85,1,45,1,81,1,25,1,0
516892790,440,9,7.22.208.1062,2201,64,1,114,1,34,1,222,1,37,1,102,1,126,1,61,1,53,1,29,1,0
516774904,440,9,7.22.208.1062,2414,64,1,59,1,268,1,81,1,412,1,77,1,126,1,4,1,53,1,21,1,1
516770069,440,9,7.22.208.1062,1921,154,1,75,1,3,1,432,1,18,1,141,1,150,1,67,1,29,1,16,1,0
516735807,440,9,7.22.208.1062,1397,121,1,24,1,8,1,81,1,497,1,64,1,98,1,3,1,89,1,18,1,1
516721152,440,9,7.22.208.1062,2058,81,1,516,1,34,1,497,1,18,1,141,1,92,1,157,1,3,1,22,1,0
516575666,420,9,7.22.208.1062,1791,28,3,106,1,103,3,498,4,43,3,19,4,86,3,245,4,29,4,117,4,0
516401969,440,9,7.22.208.1062,1251,154,1,157,1,134,1,89,1,29,1,64,1,106,1,8,1,498,1,497,1,1
516342205,440,9,7.22.208.1062,2962,141,1,122,1,99,1,81,1,497,1,59,1,31,1,45,1,106,1,236,1,0
516337224,440,9,7.22.208.1062,1990,141,1,10,1,163,1,21,1,89,1,121,1,420,1,238,1,18,1,54,1,0
516285511,440,9,7.22.208.1062,1703,11,1,80,1,163,1,429,1,412,1,113,1,63,1,238,1,497,1,29,1,1
515411621,440,9,7.21.206.6866,1446,5,2,150,4,4,4,267,2,222,2,80,5,126,4,61,3,43,2,29,3,0
516292240,440,9,7.22.208.1062,2002,19,1,75,1,41,1,117,1,498,1,24,1,76,1,245,1,497,1,429,1,0
515627615,440,9,7.21.206.6866,1777,33,2,92,4,245,3,202,3,12,4,60,3,150,1,61,1,497,1,29,3,1
515913311,440,9,7.22.208.1062,1740,113,1,126,1,8,1,497,1,22,1,64,1,150,1,115,1,432,1,222,1,0
516168341,420,9,7.22.208.1062,2160,11,3,13,4,112,4,25,5,498,4,141,3,238,3,161,3,497,4,202,4,1
516172823,420,9,7.22.208.1062,1867,64,3,114,3,69,3,497,4,21,3,154,4,27,1,91,5,16,1,67,4,1
515906241,440,9,7.22.208.1062,1670,245,1,83,1,55,1,429,1,497,1,141,1,48,1,85,1,40,1,67,1,1
515900446,440,9,7.22.208.1062,1453,114,1,43,1,4,1,21,1,22,1,107,1,8,1,157,1,412,1,110,1,0
515089670,440,9,7.21.206.6866,1874,57,3,150,2,99,3,29,1,16,2,81,4,98,3,115,4,21,2,40,4,0
519901077,440,9,7.22.208.1062,2072,64,1,164,3,55,3,67,4,497,3,28,4,8,1,50,2,81,4,25,1,0
515216503,440,9,7.21.206.6866,2208,11,3,59,4,45,1,110,4,99,2,141,4,236,3,13,1,201,4,22,3,1
515499456,440,9,7.21.206.6866,2054,141,3,59,4,55,1,222,3,16,3,121,3,86,1,8,1,223,1,67,2,0
515122587,440,9,7.21.206.6866,2565,79,3,78,4,38,3,117,3,18,2,19,1,61,1,157,4,53,3,222,3,1
515231048,440,9,7.21.206.6866,1474,77,3,126,1,61,3,15,1,267,3,33,3,157,4,115,2,117,3,18,4,0
518756096,440,9,7.22.208.1062,1832,64,4,58,4,268,1,29,4,43,3,79,4,10,4,101,4,432,5,202,4,1
515232890,440,9,7.21.206.6866,1394,157,1,86,3,61,3,497,1,119,1,5,2,64,4,103,5,412,4,51,5,0
516519331,440,9,7.22.208.1062,2531,64,1,164,1,115,1,498,1,89,1,121,1,24,1,41,1,67,1,412,1,0
508125296,420,9,7.20.204.9809,2033,11,4,24,1,43,4,18,4,53,1,154,3,75,4,61,5,96,3,44,3,0
507980772,420,9,7.20.204.9809,1744,254,3,23,4,8,2,51,4,497,4,32,4,157,4,61,3,37,4,67,4,0
507053031,440,9,7.20.204.9809,1847,59,2,150,4,134,3,236,4,223,1,113,3,82,4,55,3,498,3,497,3,0
506702313,440,9,7.20.204.9809,1812,64,1,55,4,105,3,202,2,117,1,60,1,78,1,103,1,429,5,201,3,0
506668601,440,9,7.20.204.9809,1730,141,3,23,1,4,4,21,4,412,4,64,4,57,3,245,2,497,4,498,1,1
506664902,440,9,7.20.204.9809,2244,266,2,238,3,134,3,236,3,89,1,29,4,57,4,131,4,133,4,1,1,1
505191846,440,9,7.19.203.1070,1419,113,4,48,4,34,4,201,4,67,3,5,4,98,2,45,5,12,1,18,2,1
504820447,440,9,7.19.203.1070,1384,64,3,5,4,61,3,222,4,44,4,48,4,122,4,245,3,67,3,117,4,1
504500641,440,9,7.19.203.1070,1663,56,4,90,4,91,4,40,4,236,1,121,1,39,4,45,5,202,4,89,5,0
499458446,440,9,7.18.201.9160,1768,56,4,19,4,26,5,89,5,236,3,76,4,54,1,245,3,222,1,16,3,1
499276225,440,9,7.18.201.9160,2355,113,3,84,4,238,1,81,3,53,5,32,2,80,3,1,4,119,5,40,2,0
499292941,440,9,7.18.201.9160,1976,11,5,150,4,105,3,25,2,236,3,57,1,92,4,61,1,202,1,201,1,1
499260226,440,9,7.18.201.9160,2218,245,3,86,1,103,3,117,1,96,1,141,4,19,4,38,2,81,3,37,2,0
497956377,420,9,7.18.201.9160,2175,64,4,14,3,91,3,26,4,22,2,62,3,150,4,99,5,15,2,44,1,0
497851679,440,9,7.18.201.9160,1545,11,1,17,1,90,4,18,1,25,3,79,4,150,4,141,1,16,3,222,2,0
496876695,440,9,7.18.201.9160,2484,56,2,36,1,90,4,12,4,236,4,59,6,150,4,1,4,81,3,53,3,0
490095218,440,9,7.17.200.3955,960,64,1,150,4,55,1,89,2,202,5,107,4,516,4,103,1,236,3,201,4,1
488372955,440,9,7.16.198.5100,1607,254,4,150,1,1,3,53,3,81,3,64,5,126,5,99,4,67,1,44,1,0
488371881,440,9,7.16.198.5100,1757,60,1,6,4,63,3,89,3,67,3,102,2,41,3,238,5,29,3,117,3,1
487855568,440,9,7.16.198.5100,2325,120,1,6,4,1,3,222,2,412,3,78,5,98,3,245,4,53,4,119,3,1
487834730,440,9,7.16.198.5100,2354,62,3,157,2,143,3,18,2,412,3,64,1,150,4,63,3,236,3,53,5,1
520518147,420,9,7.22.208.1062,1888,33,5,92,5,101,5,63,5,498,5,107,5,157,5,103,5,21,5,222,5,1
520495794,420,9,7.22.208.1062,1260,121,5,157,5,3,6,16,5,222,5,9,5,82,5,103,1,81,5,21,5,0
520511477,420,9,7.22.208.1062,1531,57,5,58,5,3,5,51,5,267,5,113,5,240,5,134,6,37,6,222,5,1
520464355,420,9,7.22.208.1062,1101,120,5,31,5,55,5,43,5,119,5,113,6,86,5,161,5,412,5,81,5,1
520477501,420,9,7.22.208.1062,2166,154,5,157,5,45,5,267,5,202,5,120,5,98,5,131,5,53,5,222,5,1
520416185,420,9,7.22.208.1062,1503,35,5,86,5,105,5,89,5,202,5,9,5,157,6,13,1,81,5,223,6,0
520471748,420,9,7.22.208.1062,1635,76,5,14,5,4,5,89,5,18,5,33,5,80,5,245,5,412,5,15,5,0
520417784,420,9,7.22.208.1062,1704,11,5,10,5,38,5,14,5,29,5,9,5,74,5,8,1,81,5,111,5,1
520403400,420,9,7.22.208.1062,2397,19,4,41,5,238,5,498,4,89,5,77,4,24,5,62,5,90,5,236,5,1
520375984,420,9,7.22.208.1062,2456,141,5,126,5,62,5,498,5,267,5,203,5,83,5,91,4,51,5,43,5,1
520371326,420,9,7.22.208.1062,2062,35,5,420,5,131,5,22,5,40,5,76,1,98,1,9,5,29,5,53,5,1
520410581,420,9,7.22.208.1062,1598,59,5,92,5,245,5,222,5,37,5,121,4,126,5,1,5,51,5,267,5,1
520346391,420,9,7.22.208.1062,1895,59,5,58,5,127,5,25,5,18,5,141,5,98,1,7,5,222,4,201,5,0
520352480,420,9,7.22.208.1062,1528,33,4,86,5,61,4,21,5,53,5,62,5,85,5,268,5,67,5,44,5,1
520337587,420,9,7.22.208.1062,1530,9,5,133,5,103,5,117,5,96,6,121,5,62,5,238,5,99,5,29,5,1
520314205,420,9,7.22.208.1062,1615,131,5,114,5,63,5,267,5,29,5,35,5,39,5,115,5,51,5,143,5,0
520191762,420,9,7.22.208.1062,1775,9,5,75,5,238,5,67,5,89,5,57,5,54,6,55,5,14,5,21,5,0
520158490,420,9,7.22.208.1062,1058,32,5,122,4,112,4,119,5,37,5,9,5,39,4,163,5,89,1,21,5,0
520099263,420,9,7.22.208.1062,1555,9,5,126,1,45,5,412,4,29,5,104,5,79,5,34,5,18,5,14,4,1
520095953,420,9,7.22.208.1062,1391,9,5,5,4,268,5,67,5,53,5,64,5,68,4,157,5,202,5,25,5,1
520036103,420,9,7.22.208.1062,1261,102,5,80,4,99,1,223,5,67,4,245,5,150,5,55,4,412,5,222,5,0
520046018,420,9,7.22.208.1062,1304,28,5,13,5,236,5,432,5,15,4,5,5,41,5,4,5,29,5,37,5,0
520026018,420,9,7.22.208.1062,2064,59,5,57,6,38,5,67,6,40,5,121,6,8,6,115,6,29,6,25,5,0
520025647,420,9,7.22.208.1062,1688,104,5,266,5,7,4,21,4,267,5,64,5,81,4,3,5,25,5,236,6,1
519797453,420,9,7.22.208.1062,1612,9,5,150,5,90,6,267,5,222,5,64,6,57,5,268,5,202,6,37,5,0
520024120,420,9,7.22.208.1062,1709,33,4,62,6,61,5,236,1,44,5,28,5,50,5,21,6,67,5,412,5,0
520034686,420,9,7.22.208.1062,1795,121,4,58,5,55,5,236,4,412,5,62,5,92,5,134,5,25,5,18,4,0
519791621,420,9,7.22.208.1062,1674,78,5,41,5,163,5,53,6,67,5,19,5,14,5,45,5,110,5,143,6,0
519728418,420,9,7.22.208.1062,1095,78,5,59,5,61,5,117,5,119,5,107,6,98,5,34,5,89,5,51,5,1
519703671,420,9,7.22.208.1062,2083,57,5,157,5,268,1,236,5,117,5,141,4,86,4,61,5,119,5,412,5,1
519689685,420,9,7.22.208.1062,1220,57,5,84,4,34,5,202,5,53,5,19,5,240,5,134,5,44,5,18,5,1
518657868,420,9,7.22.208.1062,1035,9,5,35,5,55,5,412,5,96,5,59,6,122,5,38,5,21,5,44,6,0
518675429,420,9,7.22.208.1062,1371,107,5,17,5,41,5,267,4,18,5,9,5,92,5,134,4,117,5,498,5,0
518651177,420,9,7.22.208.1062,1467,62,5,58,5,245,5,412,5,21,5,57,5,6,4,4,5,429,5,12,5,0
518579595,420,9,7.22.208.1062,1210,121,5,150,5,245,5,222,5,89,4,141,5,58,5,103,5,25,4,51,5,1
518578094,420,9,7.22.208.1062,1455,9,5,80,5,202,5,412,5,67,5,60,5,11,5,38,6,236,5,432,5,0
518053764,420,9,7.22.208.1062,2101,59,5,516,5,45,5,17,5,81,5,104,5,80,5,61,5,51,5,25,5,1
518041732,420,9,7.22.208.1062,1646,141,5,14,5,55,5,67,5,117,4,64,1,516,5,105,5,432,5,51,5,1
517906907,420,9,7.22.208.1062,1998,113,5,3,5,84,5,201,5,22,5,131,5,67,5,81,5,16,5,498,4,0
517905624,420,9,7.22.208.1062,2049,77,5,41,5,45,5,51,6,96,5,9,5,58,5,236,6,81,5,432,5,0
517849244,420,9,7.22.208.1062,2785,9,5,59,5,105,1,110,4,267,6,120,6,17,1,38,6,16,5,81,3,0
517864691,420,9,7.22.208.1062,1567,57,4,62,6,90,1,37,4,81,4,11,1,10,5,134,4,51,6,267,3,1
517684762,440,9,7.22.208.1062,2087,48,1,31,1,99,1,53,1,29,1,79,1,126,1,85,1,223,1,110,1,1
517835439,420,9,7.22.208.1062,1739,77,5,31,4,8,5,53,5,429,5,9,5,17,1,42,1,110,4,37,5,0
517818665,420,9,7.22.208.1062,2796,64,5,24,5,161,5,89,4,498,4,9,5,6,5,4,5,202,5,43,1,0
517676726,420,9,7.22.208.1062,2288,9,5,59,4,25,5,161,5,115,5,141,5,6,4,127,4,89,6,498,2,0
517672183,420,9,7.22.208.1062,1803,107,1,41,5,69,5,67,4,78,1,9,5,90,4,42,5,51,5,89,6,0
517648018,440,9,7.22.208.1062,1833,9,1,10,1,90,1,498,1,89,1,28,1,223,1,163,1,18,1,117,1,1
516843593,420,9,7.22.208.1062,1425,28,1,98,3,238,5,67,6,117,5,9,5,23,5,43,3,53,4,110,5,1
516848104,420,9,7.22.208.1062,1991,59,6,119,1,4,5,29,4,117,3,9,5,11,5,1,4,429,4,497,4,0
516753056,440,9,7.22.208.1062,1421,245,1,516,1,9,1,16,1,22,1,254,1,86,1,7,1,67,1,201,1,0
516706695,440,9,7.22.208.1062,2141,9,1,75,1,45,1,267,1,51,1,19,1,13,1,238,1,29,1,53,1,1
516731457,440,9,7.22.208.1062,1821,64,1,68,1,61,1,201,1,51,1,9,1,83,1,45,1,117,1,498,1,0
516678822,440,9,7.22.208.1062,1458,120,1,126,1,38,1,429,1,12,1,245,1,57,1,157,1,53,1,18,1,1
516747656,440,9,7.22.208.1062,1833,121,1,516,1,117,1,202,1,44,1,9,1,98,1,85,1,67,1,40,1,0
516599681,440,9,7.22.208.1062,2292,32,1,75,1,238,1,29,1,267,1,245,1,91,1,38,1,12,1,21,1,1
516597783,440,9,7.22.208.1062,1819,245,1,150,1,38,1,89,1,21,1,104,1,85,1,238,1,412,1,222,1,1
516602822,440,9,7.22.208.1062,2877,121,1,80,1,7,1,99,1,18,1,64,1,122,1,238,1,222,1,45,1,0
516587518,440,9,7.22.208.1062,2514,76,1,84,1,24,1,81,1,161,1,245,1,223,1,238,1,26,1,429,1,1
516547782,440,9,7.22.208.1062,1348,245,1,238,1,103,1,412,1,51,1,64,1,13,1,161,1,202,1,98,1,1
515979439,440,9,7.22.208.1062,1684,9,1,3,1,127,1,222,1,37,1,107,1,157,1,134,1,16,1,498,1,0
515601126,420,9,7.21.206.6866,1757,28,6,58,5,134,4,51,4,201,4,9,5,98,5,43,5,498,5,412,4,0
515725015,420,9,7.21.206.6866,2236,245,5,41,1,42,6,119,4,53,3,64,4,79,4,45,4,43,4,29,1,1
515565923,420,9,7.21.206.6866,1648,9,5,126,2,63,4,412,4,429,4,35,4,58,2,157,4,432,4,29,4,1
515562617,420,9,7.21.206.6866,1422,57,5,14,2,61,4,67,5,201,4,59,4,92,5,134,1,15,3,16,3,0
515527531,420,9,7.21.206.6866,1785,78,5,8,4,115,4,236,5,432,5,121,4,150,4,61,3,119,2,497,3,1
515505883,420,9,7.21.206.6866,1737,57,5,58,3,61,5,85,1,236,6,64,4,68,5,268,5,25,5,222,5,1
515444676,420,9,7.21.206.6866,2683,79,5,98,3,1,3,37,1,96,5,59,1,39,5,268,5,498,3,117,4,1
515101428,420,9,7.21.206.6866,1449,31,5,8,4,74,6,89,3,51,5,57,5,150,3,34,1,110,5,16,5,0
514909241,420,9,7.21.206.6866,2328,33,5,10,5,131,5,110,4,267,4,62,5,164,4,238,3,40,5,18,5,0
